tns_name,categories,status,plot_path,interp_autocheck,filename,primary_reason,catalog_snr,usable_bandwidth_mhz,morphology_label,n_subbursts,is_repeater,orig_masked_pixel_frac,orig_masked_channel_frac,scat_time,spectral_running,num_time,total_offpulse_bins,pre_offpulse_bins,post_offpulse_bins,has_calibration,has_pulse_region,offpulse_method,noise_failed,n_usable_channels,analyst_1_notes,analyst_2_notes,reconciliation
FRB20200922B,narrowband,provisionally_eligible,FRB20200922B_refqc.png,OK,FRB20200922B_stokesi_dynamic_spectrum.h5,,18.991846085988400,140.9912109375,single_component,1,FALSE,0.5625538767119980,0.64752197265625,0.1623624431016670,-7.2823113547847500,162,78.0,78.0,0.0,TRUE,TRUE,pulse_emission_region,FALSE,,no obviously visible spectrum,[viewed] Heavy periodic comb-mask (56%); a broad emission hump 70-160ms is captured by on-pulse. Marginal.,AGREE A1 'no obvious spectrum' (appearance). Real broad signal present; interpretation OK.
FRB20201010D,low_snr,eligible,FRB20201010D_refqc.png,OK,FRB20201010D_stokesi_dynamic_spectrum.h5,,5.815597160487860,301.5625,single_component,1,FALSE,0.0864012918354552,0.24609375,0.0,-2.9245868936888400,162,157.0,79.0,78.0,TRUE,TRUE,pulse_emission_region,FALSE,,no visible spectrum looks scattered,[auto+metrics] Low S/N (5.8) faint; pulse_emission_region; auto-check OK.,AGREE A1 'no visible spectrum/scattered'. Faint intrinsic; interpretation OK.
FRB20201014B,excluded,excluded,FRB20201014B_refqc.png,OK,FRB20201014B_stokesi_dynamic_spectrum.h5,E006_INSUFFICIENT_OFF_PULSE,117.13585738562900,313.5986328125,multi_component,7,TRUE,0.0865484384390024,0.21600341796875,0.0245686118908054,-95.52892356033720,104,14.0,14.0,0.0,TRUE,TRUE,,,,missing lots of data ,"[viewed] Genuine 7-component repeater burst (S/N 117, mask only 9%); EXCLUDED E006 (off-pulse 14<16) so Tier B panels empty.",PARTIAL DISAGREE A1 'missing data': raw data is fine; excluded for insufficient off-pulse. Finding F3.
FRB20201125B,strongly_masked,provisionally_eligible,FRB20201125B_refqc.png,OK,FRB20201125B_stokesi_dynamic_spectrum.h5,,21.1837558746,370.3125,single_component,1,TRUE,0.9580367554610720,0.07421875,,,814,,,,TRUE,FALSE,derived_profile,FALSE,,not sure if it has enough data to be useful,[viewed] 96% flag-masked; real data only a ~25MHz sliver (400-425MHz); no clear burst; repeater.,AGREE A1 'not sure enough data'. Finding F1: usable BW(370) overstated vs pixel-flag reality.
FRB20210216A,limited_offpulse;noise_failed,eligible,FRB20210216A_refqc.png,OK,FRB20210216A_stokesi_dynamic_spectrum.h5,,17.02649216703990,289.8193359375,single_component,1,FALSE,0.0712600708007812,0.27545166015625,0.0532499531975145,-14.336647599391800,40,24.0,19.0,5.0,TRUE,TRUE,pulse_emission_region,TRUE,,might be useful,[viewed] Real burst visible (~80ms) but 4x downsampled (num_time 40); too few off-pulse bins -> project mask 100% -> E014.,AGREE A1 'might be useful'. Finding F3: correct E014 under rules but burst is real.
FRB20210302E,unusual_spectrum,eligible,FRB20210302E_refqc.png,OK,FRB20210302E_stokesi_dynamic_spectrum.h5,,45.84089883076230,316.89453125,multi_component,3,TRUE,0.0669076956954657,0.207763671875,0.010319946462322,-5492.638730087320,102,72.0,41.0,31.0,TRUE,TRUE,pulse_emission_region,FALSE,,has a blotch instead of a clear line,"[auto+metrics] Unusual_spectrum, S/N 46, pulse_emission_region; auto-check OK; 'blotch' = compact/narrowband burst.",RECONCILED: A1 'blotch' = compact burst morphology. Interpretation OK.
FRB20210403F,scattered,eligible,FRB20210403F_refqc.png,OK,FRB20210403F_stokesi_dynamic_spectrum.h5,,58.11791931108530,319.873046875,single_component,1,FALSE,0.0678888437699298,0.2003173828125,1.5220803360206700,-274.5541215648630,196,95.0,95.0,0.0,TRUE,TRUE,pulse_emission_region,FALSE,,scattered,"[auto+metrics] Scattered, S/N 58, pulse_emission_region; auto-check OK.",AGREE A1 'scattered'. Consistent.
FRB20210415C,repeater,eligible,FRB20210415C_refqc.png,OK,FRB20210415C_stokesi_dynamic_spectrum.h5,,418.8766255702230,268.6767578125,single_component,1,TRUE,0.0669227882667824,0.32830810546875,0.0372150244046758,-9.726698362700320,162,120.0,79.0,41.0,TRUE,TRUE,pulse_emission_region,FALSE,,clear peak ,"[auto+metrics] Repeater, S/N 419 (high), clear single burst per A1; auto-check OK.",AGREE A1 'clear peak'. Interpretation OK.
FRB20210421D,excluded,excluded,FRB20210421D_refqc.png,OK,FRB20210421D_stokesi_dynamic_spectrum.h5,E008_INSUFFICIENT_TIME_COVERAGE,11.00752716169960,345.1416015625,single_component,1,FALSE,0.071539306640625,0.13714599609375,0.0,-129.35156291484800,20,17.0,9.0,8.0,TRUE,TRUE,,,,missing data,[auto+metrics] EXCLUDED E008 (num_time 20 < 32); too little time coverage; Tier B panels empty.,AGREE A1 'missing data' (effectively too-short window). Correct exclusion.
FRB20210523C,multi_component,eligible,FRB20210523C_refqc.png,OK,FRB20210523C_stokesi_dynamic_spectrum.h5,,61.91741955271760,281.5185546875,multi_component,7,FALSE,0.0908568582417052,0.29620361328125,0.0052938677307826,-208.3173164291530,162,101.0,55.0,46.0,TRUE,TRUE,pulse_emission_region,FALSE,,blotch,"[auto+metrics] Multi_component, S/N 62, pulse_emission_region; auto-check OK; 'blotch' = sub-burst.",RECONCILED: A1 'blotch' = component. Interpretation OK.
FRB20210720B,narrowband;rfi_channels,provisionally_eligible,FRB20210720B_refqc.png,OK,FRB20210720B_stokesi_dynamic_spectrum.h5,,13.856615933788400,126.5625,single_component,1,FALSE,0.6445904013551310,0.68359375,0.0,-1.151039401713300,162,155.0,78.0,77.0,TRUE,TRUE,pulse_emission_region,FALSE,,really only see anything on the frequency time series,"[auto+metrics] Narrowband+RFI, 64% masked; signal mainly in the time series per A1; auto-check OK.",AGREE A1. Narrowband+heavy-mask; borderline like F1 but usable BW likely lower. Note for WP1.
FRB20211002B,low_snr,eligible,FRB20211002B_refqc.png,OK,FRB20211002B_stokesi_dynamic_spectrum.h5,,4.060211104053560,239.208984375,single_component,1,FALSE,0.1368773660542050,0.4019775390625,0.0,7.99770263707196,162,158.0,79.0,79.0,TRUE,TRUE,pulse_emission_region,FALSE,,no clear peak looks scattered,[auto+metrics] Very low S/N (4.1); faint/scattered; auto-check OK.,AGREE A1 'no clear peak/scattered'. Faint intrinsic; interpretation OK.
FRB20211031A,strongly_masked,provisionally_eligible,FRB20211031A_refqc.png,OK,FRB20211031A_stokesi_dynamic_spectrum.h5,,20.0650215149,340.625,single_component,1,FALSE,0.8501068790070260,0.1484375,,,814,,,,FALSE,FALSE,derived_profile,FALSE,,"black box origin max, spectrum is a box at bottom of graph","[viewed] 85% flag-masked; real data only ~75MHz sliver (400-475MHz, 'box at bottom'); no clear burst.",AGREE A1 'black box/box at bottom'. Finding F1: usable BW(340) overstated.
FRB20211202A,strongly_masked,provisionally_eligible,FRB20211202A_refqc.png,OK,FRB20211202A_stokesi_dynamic_spectrum.h5,,12.055768013000500,340.625,single_component,1,FALSE,0.8171318485344360,0.1484375,,,814,,,,FALSE,FALSE,derived_profile,FALSE,,"black box origin max, spectrum is a box at bottom of graph","[auto+metrics] Strongly_masked (82%), derived_offpulse; same class as FRB20211031A ('box at bottom').",AGREE A1. Finding F1 (overstated usable BW) very likely; recommend a direct human look.
FRB20220126B,limited_offpulse;near_boundary;noise_failed,eligible,FRB20220126B_refqc.png,OK,FRB20220126B_stokesi_dynamic_spectrum.h5,,12.292375078175700,283.9111328125,single_component,1,FALSE,0.1487765842013890,0.29022216796875,0.0354658856716723,-11.92338010761520,36,16.0,16.0,0.0,TRUE,TRUE,pulse_emission_region,TRUE,,spectrum looks scattered no clear line or objects,[auto+metrics] noise_failed -> E014; limited_offpulse + near_boundary; same class as FRB20210216A.,AGREE A1 'no clear line'. Finding F3: correct E014; burst may be recoverable via full-timeseries stats.
FRB20220202A,repeater,eligible,FRB20220202A_refqc.png,OK,FRB20220202A_stokesi_dynamic_spectrum.h5,,236.84501061591700,264.8193359375,multi_component,3,TRUE,0.1490418233989200,0.33795166015625,0.0,-138.25921433751500,162,139.0,69.0,70.0,TRUE,TRUE,pulse_emission_region,FALSE,,good,"[auto+metrics] Repeater, S/N 237 (high); A1 'good'; auto-check OK.",AGREE A1 'good'. Interpretation OK.
FRB20220222B,high_snr,eligible,FRB20220222B_refqc.png,OK,FRB20220222B_stokesi_dynamic_spectrum.h5,,561.8394759710790,266.845703125,single_component,1,FALSE,0.1527920946662810,0.3328857421875,0.0986105582026084,-3.551921784820030,162,80.0,80.0,0.0,TRUE,TRUE,pulse_emission_region,FALSE,,another split in half one,[auto+metrics] High S/N (562); A1 'another split in half' = likely scattering tail like FRB20200723B; auto-check OK.,LIKELY RECONCILED: 'split' = scattering tail / on-pulse width. Interpretation OK (auto-check passed).
FRB20221116F,multi_component;repeater,eligible,FRB20221116F_refqc.png,OK,FRB20221116F_stokesi_dynamic_spectrum.h5,,306.3859509543670,283.69140625,multi_component,7,TRUE,0.2034331713717410,0.290771484375,0.0122676014901278,-125.59060174136600,326,241.0,119.0,122.0,TRUE,TRUE,pulse_emission_region,FALSE,,good with 2 blotches,[viewed] Beautiful 7-component drifting repeater (S/N 306); on-pulse spans both sub-burst groups; structure preserved.,AGREE A1 'good with 2 blotches' = real sub-bursts. Exemplary.
FRB20221208A,unusual_spectrum,provisionally_eligible,FRB20221208A_refqc.png,OK,FRB20221208A_stokesi_dynamic_spectrum.h5,,36.948672265363600,291.650390625,multi_component,4,TRUE,0.2072313096788190,0.2708740234375,0.0,-5888.345110245980,162,128.0,62.0,66.0,TRUE,TRUE,pulse_emission_region,FALSE,,looks neat,"[auto+metrics] Unusual_spectrum, S/N 37; A1 'looks neat'; auto-check OK.",AGREE A1. Interpretation OK.
FRB20221210C,multi_component,eligible,FRB20221210C_refqc.png,OK,FRB20221210C_stokesi_dynamic_spectrum.h5,,48.21040611451820,290.4052734375,multi_component,6,TRUE,0.2072686089409720,0.27398681640625,0.0,-305.21357685628000,162,115.0,57.0,58.0,TRUE,TRUE,pulse_emission_region,FALSE,,blotch,"[auto+metrics] Multi_component, S/N 48; 'blotch' = sub-burst; auto-check OK.",RECONCILED: A1 'blotch' = component. Interpretation OK.
FRB20221219D,unusual_spectrum,eligible,FRB20221219D_refqc.png,OK,FRB20221219D_stokesi_dynamic_spectrum.h5,,18.9188548439705,289.5751953125,single_component,1,TRUE,0.2110995068962190,0.27606201171875,0.0,26.10701968953860,162,136.0,68.0,68.0,TRUE,TRUE,pulse_emission_region,FALSE,,small blotch bottom center of spectrum ,"[auto+metrics] Unusual_spectrum, S/N 19; 'small blotch bottom center' = compact low-freq burst; auto-check OK.",RECONCILED: A1 'small blotch' = compact burst. Interpretation OK.
FRB20230201A,unusual_spectrum,eligible,FRB20230201A_refqc.png,OK,FRB20230201A_stokesi_dynamic_spectrum.h5,,21.74407424983440,287.2314453125,single_component,1,TRUE,0.1486047815393520,0.28192138671875,0.0205455326838756,25.831998275867300,162,133.0,77.0,56.0,TRUE,TRUE,pulse_emission_region,FALSE,,blotch,"[auto+metrics] Unusual_spectrum, S/N 22; 'blotch'; auto-check OK.",RECONCILED: A1 'blotch' = component. Interpretation OK.
FRB20230206A,derived_offpulse,provisionally_eligible,FRB20230206A_refqc.png,OK,FRB20230206A_stokesi_dynamic_spectrum.h5,,92.9909591675,340.625,single_component,1,FALSE,0.1495852458682050,0.1484375,,,814,,,,TRUE,FALSE,derived_profile,FALSE,,spectrums look weird but there is a clear vertical line in middle,[auto+metrics] derived_offpulse but A1 reports a clear vertical line in middle; S/N 93; auto-check OK.,AGREE A1: derived-offpulse WITH a clear burst present (unlike F2 cases) -> interpretation OK.
FRB20230307B,narrowband;rfi_channels,provisionally_eligible,FRB20230307B_refqc.png,OK,FRB20230307B_stokesi_dynamic_spectrum.h5,,44.0231470734178,132.7880859375,single_component,1,FALSE,0.11406005859375,0.66802978515625,0.0,7.566044594891130,100,97.0,49.0,48.0,FALSE,TRUE,pulse_emission_region,FALSE,,ok,[auto+metrics] Narrowband+RFI; A1 'ok'; auto-check OK.,AGREE A1 'ok'. Interpretation OK.
FRB20230502A,limited_offpulse,eligible,FRB20230502A_refqc.png,OK,FRB20230502A_stokesi_dynamic_spectrum.h5,,38.8110915785214,327.4658203125,single_component,1,FALSE,0.164376651539522,0.18133544921875,0.0107658664140212,-5.4276807693402200,34,26.0,16.0,10.0,TRUE,TRUE,pulse_emission_region,FALSE,,ok,[auto+metrics] Limited_offpulse but not excluded; A1 'ok'; auto-check OK.,AGREE A1 'ok'. Off-pulse sufficient (unlike the E006 case). Interpretation OK.
FRB20230722A,near_boundary,eligible,FRB20230722A_refqc.png,OK,FRB20230722A_stokesi_dynamic_spectrum.h5,,44.36272975733070,264.453125,single_component,1,FALSE,0.2551962770061730,0.3388671875,0.128540633841362,-1.2814854920449700,162,76.0,76.0,0.0,TRUE,TRUE,pulse_emission_region,FALSE,,scattered spectrum ok otherwise ,[auto+metrics] Near_boundary; A1 'scattered ok otherwise'; auto-check OK.,AGREE A1. Interpretation OK.
FRB20230905D,high_snr;nonrepeater;single_component,eligible,FRB20230905D_refqc.png,OK,FRB20230905D_stokesi_dynamic_spectrum.h5,,899.6317292293020,227.6611328125,single_component,1,FALSE,0.2385903574937690,0.43084716796875,0.0843033990626795,-4.036236966088330,326,235.0,161.0,74.0,TRUE,TRUE,pulse_emission_region,FALSE,,strong line / bar,"[auto+metrics] Highest S/N (900), single burst ('strong line/bar'); auto-check OK.",AGREE A1 'strong line'. Exemplary high-S/N; interpretation OK.
FRB20230911A,no_calibration,provisionally_eligible,FRB20230911A_refqc.png,OK,FRB20230911A_stokesi_dynamic_spectrum.h5,,246.76750028741500,225.4150390625,single_component,1,FALSE,0.242714210792824,0.43646240234375,0.0040708309589003,-8.124617390480610,162,155.0,80.0,75.0,FALSE,TRUE,pulse_emission_region,FALSE,,good,"[auto+metrics] No_calibration, S/N 247; A1 'good'; auto-check OK.",AGREE A1 'good'. Normalized-only (no Jy) but interpretation OK.
FRB20230915G,near_boundary,eligible,FRB20230915G_refqc.png,OK,FRB20230915G_stokesi_dynamic_spectrum.h5,,17.265475930270600,280.908203125,single_component,1,FALSE,0.2227521088957060,0.2977294921875,0.2209621458971050,-4.853803644386100,326,162.0,162.0,0.0,TRUE,TRUE,pulse_emission_region,FALSE,,scattered spectrum but else good,[auto+metrics] Near_boundary; A1 'scattered but else good'; auto-check OK.,AGREE A1. Interpretation OK.
